stable_id	pinyin	chinese	frequency	translation	part_of_speech	domain	style
slang.reaction.cant_hold_it	beng bu zhu	绷不住	990000	I can't hold it in; I'm cracking up.	phrase	internet	slang
slang.reaction.cant_hold_it_anymore	beng bu zhu le	绷不住了	989900	I can't hold it in anymore; I'm cracking up.	phrase	internet	slang
slang.reaction.bengbu_pun	beng bu zhu le	蚌埠住了	989800	I can't hold it in anymore. (pun)	phrase	internet	slang
slang.reaction.dying_laughing	xiao si	笑死	989700	I'm dying laughing; LOL.	phrase	internet	slang
slang.reaction.dying_laughing_full	xiao si wo le	笑死我了	989600	I'm dying laughing.	phrase	internet	slang
slang.reaction.speechless	wu yu	无语	989500	I'm speechless.	phrase	internet	slang
slang.reaction.ridiculous	li pu	离谱	989400	That's ridiculous; outrageous.	adjective	internet	slang
slang.reaction.too_ridiculous	tai li pu le	太离谱了	989300	That's absolutely ridiculous.	phrase	internet	slang
slang.reaction.absurd	ni tian	逆天	989200	That's absurd; unreal.	adjective	internet	slang
slang.reaction.incredible	jue le	绝了	989100	That's incredible; I'm speechless.	phrase	internet	slang
slang.reaction.impressive	you dian dong xi	有点东西	989000	That's pretty impressive.	phrase	internet	slang
slang.reaction.nailed_it	na nie	拿捏	988900	Nailed it; got it under control.	verb	internet	slang
slang.reaction.in_the_bag	wen le	稳了	988800	We've got this; it's in the bag.	phrase	internet	slang
slang.reaction.its_over	ji le	寄了	988700	It's over; we're done for.	phrase	internet	slang
slang.reaction.falling_apart	wo lie kai le	我裂开了	988600	I'm losing it; I'm falling apart.	phrase	internet	slang
slang.reaction.numb	ma le	麻了	988500	I'm numb; I can't even.	phrase	internet	slang
slang.reaction.completely_numb	ren ma le	人麻了	988400	I can't even; I'm completely numb.	phrase	internet	slang
slang.reaction.hit_hard	po fang	破防	988300	That hit me hard; I couldn't hold back my emotions.	verb	internet	slang
slang.reaction.hit_really_hard	po da fang	破大防	988200	That hit me really hard.	phrase	internet	slang
slang.reaction.hurts	zha xin	扎心	988100	That hurts; it hits close to home.	phrase	internet	slang
slang.reaction.hurts_full	zha xin le	扎心了	988000	That hurts; it hit close to home.	phrase	internet	slang
slang.reaction.moved_to_tears	lei mu	泪目	987900	That moved me to tears.	phrase	internet	slang
slang.reaction.tearing_up	lei mu le	泪目了	987800	I'm tearing up.	phrase	internet	slang
slang.reaction.too_real	tai zhen shi le	太真实了	987700	Too real; painfully relatable.	phrase	internet	slang
slang.reaction.no_way	bu hui ba	不会吧	987600	No way; seriously?	phrase	internet	slang
slang.reaction.thats_it	jiu zhe	就这	987500	That's it? Is that all?	phrase	internet	slang
slang.reaction.seriously	ke hai xing	可还行	987400	Seriously? Is that even okay?	phrase	internet	slang
slang.reaction.overthinking	ni xiang duo le	你想多了	987300	You're overthinking it.	phrase	internet	slang
slang.reaction.jealous	wo suan le	我酸了	987200	I'm jealous.	phrase	internet	slang
slang.reaction.jealous_person	ning meng jing	柠檬精	987100	a jealous person; a hater	person	internet	slang
slang.reaction.feeling_down	emo le	emo了	987000	I'm feeling down.	phrase	internet	slang
slang.meme.takes_me_back	ye qing hui	爷青回	986900	This takes me back; my youth is back.	phrase	internet	slang
slang.meme.end_of_an_era	ye qing jie	爷青结	986800	My youth is over; it's the end of an era.	phrase	internet	slang
slang.meme.im_the_clown	xiao chou jing shi wo zi ji	小丑竟是我自己	986700	Turns out I'm the clown.	phrase	internet	slang
slang.meme.i_take_it_back	zhen xiang	真香	986600	I take it back; it's actually great.	phrase	internet	slang
