stable_id	pinyin	chinese	frequency	translation	part_of_speech	domain	style
curated.greeting.good_morning	zao shang hao	早上好	990000	Good morning.	phrase	social	neutral
curated.greeting.good_afternoon	xia wu hao	下午好	980000	Good afternoon.	phrase	social	neutral
curated.greeting.good_evening	wan shang hao	晚上好	970000	Good evening.	phrase	social	neutral
curated.greeting.good_night	wan an	晚安	960000	Good night.	phrase	social	neutral
curated.greeting.long_time_no_see	hao jiu bu jian	好久不见	950000	Long time no see.	phrase	social	casual
curated.greeting.how_have_you_been	zui jin zen me yang	最近怎么样	940000	How have you been?	phrase	social	casual
curated.greeting.nice_to_meet_you	hen gao xing ren shi ni	很高兴认识你	930000	Nice to meet you.	phrase	social	neutral
curated.greeting.see_you_later	hui tou jian	回头见	920000	See you later.	phrase	social	casual
curated.greeting.see_you_tomorrow	ming tian jian	明天见	910000	See you tomorrow.	phrase	social	neutral
curated.greeting.safe_trip	yi lu ping an	一路平安	900000	Have a safe trip.	phrase	travel	neutral
curated.greeting.welcome_back	huan ying hui lai	欢迎回来	890000	Welcome back.	phrase	social	neutral
curated.social.thank_you_help	xie xie ni de bang zhu	谢谢你的帮助	880000	Thank you for your help.	phrase	social	neutral
curated.social.you_are_welcome	bu ke qi	不客气	870000	You're welcome.	phrase	social	neutral
curated.social.no_worries	mei guan xi	没关系	860000	That's okay.	phrase	social	neutral
curated.social.sorry	bu hao yi si	不好意思	850000	Sorry about that.	phrase	social	neutral
curated.social.excuse_me	da rao yi xia	打扰一下	840000	Excuse me.	phrase	social	neutral
curated.social.please_wait	qing shao deng	请稍等	830000	Please wait a moment.	phrase	social	polite
curated.social.thanks_for_trouble	ma fan ni le	麻烦你了	820000	Thanks for your trouble.	phrase	social	polite
curated.social.hard_work	xin ku le	辛苦了	810000	Thanks for your hard work.	phrase	work	neutral
curated.social.no_problem	mei wen ti	没问题	800000	No problem.	phrase	social	casual
curated.social.of_course	dang ran ke yi	当然可以	790000	Of course.	phrase	social	neutral
curated.social.is_that_ok	ke yi ma	可以吗	780000	Is that okay?	phrase	social	neutral
curated.social.really	zhen de ma	真的吗	770000	Really?	phrase	social	casual
curated.social.thats_great	tai hao le	太好了	760000	That's great!	phrase	social	casual
curated.social.thats_too_bad	tai ke xi le	太可惜了	750000	That's too bad.	phrase	social	neutral
curated.social.dont_worry	bie dan xin	别担心	740000	Don't worry.	phrase	social	neutral
curated.social.be_careful	xiao xin yi dian	小心一点	730000	Be careful.	phrase	social	neutral
curated.social.take_your_time	man man lai	慢慢来	720000	Take your time.	phrase	social	casual
curated.communication.understand	wo ming bai le	我明白了	710000	I understand.	phrase	communication	neutral
curated.communication.dont_know	wo bu zhi dao	我不知道	700000	I don't know.	phrase	communication	neutral
curated.communication.not_sure	wo bu que ding	我不确定	690000	I'm not sure.	phrase	communication	neutral
curated.communication.me_too	wo ye shi	我也是	680000	Me too.	phrase	communication	casual
curated.communication.agree	wo tong yi	我同意	670000	I agree.	phrase	communication	neutral
curated.communication.disagree	wo bu tong yi	我不同意	660000	I disagree.	phrase	communication	neutral
curated.communication.sounds_good	ting qi lai bu cuo	听起来不错	650000	Sounds good.	phrase	communication	casual
curated.communication.thats_right	shuo de dui	说得对	640000	That's right.	phrase	communication	casual
curated.communication.makes_sense	you dao li	有道理	630000	That makes sense.	phrase	communication	neutral
curated.communication.it_depends	kan qing kuang	看情况	620000	It depends.	phrase	communication	casual
curated.communication.cant_be_helped	mei ban fa	没办法	610000	It can't be helped.	phrase	communication	casual
curated.communication.up_to_you	sui bian ni	随便你	600000	It's up to you.	phrase	communication	casual
curated.communication.say_again	qing zai shuo yi bian	请再说一遍	590000	Could you say that again?	phrase	communication	polite
curated.communication.speak_slowly	qing shuo man yi dian	请说慢一点	580000	Please speak more slowly.	phrase	communication	polite
curated.communication.what_mean	shen me yi si	什么意思	570000	What does that mean?	phrase	communication	neutral
curated.communication.how_say	zen me shuo	怎么说	560000	How do you say it?	phrase	communication	neutral
curated.communication.how_spell	zen me pin	怎么拼	550000	How do you spell it?	phrase	communication	neutral
curated.communication.can_help	neng bang wo ma	能帮我吗	540000	Can you help me?	phrase	communication	polite
curated.communication.let_me_think	rang wo xiang xiang	让我想想	530000	Let me think.	phrase	communication	casual
curated.communication.wait_a_second	deng yi xia	等一下	520000	Wait a second.	phrase	communication	casual
curated.communication.in_a_hurry	gan shi jian	赶时间	510000	I'm in a hurry.	phrase	daily	casual
curated.communication.too_late	lai bu ji le	来不及了	500000	There's no time.	phrase	daily	casual
curated.communication.convenient_now	xian zai fang bian ma	现在方便吗	490000	Is now a good time?	phrase	communication	neutral
curated.communication.free	you kong ma	有空吗	480000	Are you free?	phrase	communication	casual
curated.communication.keep_in_touch	bao chi lian xi	保持联系	470000	Keep in touch.	phrase	communication	neutral
curated.communication.call_me	gei wo da dian hua	给我打电话	460000	Give me a call.	phrase	communication	neutral
curated.communication.message_me	gei wo fa xiao xi	给我发消息	450000	Send me a message.	phrase	communication	neutral
curated.communication.almost_there	wo ma shang dao	我马上到	440000	I'll be there soon.	phrase	daily	casual
curated.communication.on_the_way	wo zai lu shang	我在路上	430000	I'm on my way.	phrase	daily	casual
curated.daily.nothing	mei you shen me	没有什么	999500	Nothing.	phrase	daily	neutral
curated.daily.yours	ni de	你的	999490	your; yours	possessive	daily	neutral
curated.daily.mine	wo de	我的	999480	my; mine	possessive	daily	neutral
curated.daily.want	xiang	想	999470	to want; to think about	verb	daily	neutral
curated.context.thinking	zai xiang	在想	999469	be thinking about	phrase	daily	neutral
curated.context.im_thinking	wo zai xiang	我在想	999468	I'm thinking.	phrase	daily	neutral
curated.context.still_thinking	hai zai xiang	还在想	999467	still thinking about it	phrase	daily	neutral
curated.context.im_still_thinking	wo hai zai xiang	我还在想	999466	I'm still thinking about it.	phrase	daily	neutral
curated.context.currently_thinking	zheng zai xiang	正在想	999465	be thinking about	phrase	daily	neutral
curated.context.what_are_you_thinking	ni zai xiang shen me	你在想什么	999464	What are you thinking about?	phrase	daily	neutral
curated.context.thought_about_it	wo xiang le xiang	我想了想	999463	I thought about it.	phrase	daily	neutral
curated.context.remember	xiang qi lai	想起来	999462	to remember; to recall	verb	daily	neutral
curated.context.i_remember_now	wo xiang qi lai le	我想起来了	999461	I remember now.	phrase	daily	neutral
curated.daily.i_want_to	wo xiang	我想	999460	I want to; I think	phrase	daily	neutral
curated.context.want_to_go	xiang qu	想去	999459	want to go	phrase	daily	neutral
curated.context.want_to_do	xiang zuo	想做	999458	want to do	phrase	daily	neutral
curated.context.want_to_eat	xiang chi	想吃	999457	want to eat	phrase	food	neutral
curated.context.want_to_drink	xiang he	想喝	999456	want to drink	phrase	food	neutral
curated.context.want_to_see	xiang kan	想看	999455	want to see	phrase	daily	neutral
curated.context.want_to_say	xiang shuo	想说	999454	want to say	phrase	daily	neutral
curated.context.want	xiang yao	想要	999453	want; would like	verb	daily	neutral
curated.context.want_to_buy	xiang mai	想买	999452	want to buy	phrase	daily	neutral
curated.context.want_to_ask	xiang wen	想问	999451	want to ask	phrase	daily	neutral
curated.daily.i_want_to_drink	wo xiang he	我想喝	999450	I want to drink.	phrase	daily	neutral
curated.daily.i_want_water	wo xiang he shui	我想喝水	999440	I want to drink some water.	phrase	daily	neutral
curated.context.want_to_know	xiang zhi dao	想知道	999439	want to know	phrase	daily	neutral
curated.context.want_to_try	xiang shi shi	想试试	999438	want to try	phrase	daily	casual
curated.context.think_of_way	xiang ban fa	想办法	999437	find a way; think of a way	phrase	daily	neutral
curated.context.let_me_think	wo xiang xiang	我想想	999436	Let me think.	phrase	daily	casual
curated.context.let_me_think_full	rang wo xiang xiang	让我想想	999435	Let me think.	phrase	daily	casual
curated.context.think_carefully	hao hao xiang xiang	好好想想	999434	Think it over carefully.	phrase	daily	neutral
curated.context.what_do_you_think	ni zen me xiang	你怎么想	999433	What do you think?	phrase	daily	neutral
curated.context.i_think_so_too	wo xiang ye shi	我想也是	999432	I think so too.	phrase	daily	neutral
curated.context.overthinking	ni xiang duo le	你想多了	999431	You're overthinking it.	phrase	daily	casual
curated.daily.change_it	gai yi xia	改一下	999430	Change it.	phrase	daily	neutral
curated.daily.cover_it	gai yi xia	盖一下	999420	Cover it.	phrase	daily	neutral
curated.context.thought_of_it	xiang dao le	想到了	999419	I thought of it; Got it.	phrase	daily	neutral
curated.context.didnt_expect	mei xiang dao	没想到	999418	didn't expect that	phrase	daily	neutral
curated.context.i_didnt_expect	wo mei xiang dao	我没想到	999417	I didn't expect that.	phrase	daily	neutral
curated.context.really_didnt_expect	zhen mei xiang dao	真没想到	999416	I really didn't expect that.	phrase	daily	neutral
curated.context.cant_imagine	xiang bu dao	想不到	999415	can't imagine; unexpectedly	phrase	daily	neutral
curated.context.cant_remember	xiang bu qi lai	想不起来	999414	can't remember	phrase	daily	neutral
curated.context.can_remember	xiang de qi lai	想得起来	999413	can remember	phrase	daily	neutral
curated.context.miss	xiang nian	想念	999412	to miss; to long for	verb	daily	neutral
curated.context.i_miss_you	wo xiang ni	我想你	999411	I miss you.	phrase	daily	neutral
curated.context.imagine	xiang xiang	想象	999409	to imagine	verb	general	neutral
curated.context.stop_thinking	bie xiang le	别想了	999408	Stop thinking about it; Forget it.	phrase	daily	casual
curated.pattern.i_want	wo yao	我要	999410	I want; I'd like	phrase	daily	neutral
curated.pattern.you_can	ni ke yi	你可以	999400	You can.	phrase	daily	neutral
curated.pattern.i_can	wo ke yi	我可以	999390	I can.	phrase	daily	neutral
curated.pattern.can_or_not	neng bu neng	能不能	999380	Can you?; Is it possible?	phrase	daily	neutral
curated.pattern.dont_know	bu zhi dao	不知道	999370	I don't know.	phrase	daily	neutral
curated.pattern.dont_need	bu xu yao	不需要	999360	don't need	phrase	daily	neutral
curated.pattern.dont_want	wo bu xiang	我不想	999350	I don't want to.	phrase	daily	neutral
curated.pattern.cant_do	wo bu hui	我不会	999340	I can't; I don't know how	phrase	daily	neutral
curated.pattern.cannot	wo bu neng	我不能	999330	I can't.	phrase	daily	neutral
curated.pattern.should_not	bu ying gai	不应该	999320	shouldn't	phrase	daily	neutral
