stable_id	pinyin	chinese	frequency
huiyi.meeting	hui yi	会议	9820
huiyi.memory	hui yi	回忆	7610
huiyi.grasp	hui yi	会意	2800
anpai.arrange	an pai	安排	9500
anpai.meeting	an pai	安排会议	7200
anpai.time	an pai	安排时间	6800
yanqi.postpone	yan qi	延期	8900
yanqi.meeting	yan qi	延期会议	5900
yanqi.submission	yan qi	延期提交	4700
shenqing.apply	shen qing	申请	9600
shenqing.university	shen qing	申请大学	6200
shenqing.submit	shen qing	提交申请	5500
fangfa.method	fang fa	方法	9700
fangfa.approach	fang fa	这个方法	6100
fangfa.learning	fang fa	学习方法	5800
xuanfu.float	xuan fu	悬浮	500000
